,Unnamed: 0,scene_id,scene_text,in_summary,aspects,prediction,aspect?,topic,score,prediction_class
19,19,19,"[' [[Sara]] i understand , mr darwell', "" [[Sara]] have your son 's wisdom teeth come in yet ?"", ' [[Mr._Darwell]] what ?', ' [[Lockwood]] whoever killed amanda kirk ingested her organs , mr darwell', ' [[Lockwood]] left teeth marks', ' ( SARA notices that CHUCK DARWELL is awake . )', ' [[Sara]] excuse me', ' ( SARA turns to the teenager in bed . )', "" [[Sara]] hi , uh , chuck , i 'm with the crime lab"", "" [[Sara]] i 'm going to ask you to show me your back teeth"", ' [[Sara]] give us an odontological impression', "" [[Chuck_Darwell]] i did n't see mandy last night , i swear"", ' [[Mr._Darwell]] you have no legal right to question or to touch my son', ' [[Mr._Darwell]] i want you out of here', ' [[Mr._Darwell]] now', ' ( Instead of responding to MR DARWELL , DET LOCKWOOD turns to the nurse . )', ' [[Lockwood]] is that stomach contents ?', "" [[Nurse]] that 's right , officer"", ' ( The nurse stands next to the bed holding a large plastic bag of brownish-colored liquid . )', ' ( She hands the entire bag to DET LOCKWOOD . )', ' [[Lockwood]] anything he throws up no longer belongs to him', ' [[Lockwood]] pd , public domain', ' ( DET LOCKWOOD holds the bag out . )', ' ( SARA walks over to him and takes a hold of it . )', ' ( She turns to MR DARWOOD . )', "" [[Sara]] it 's going to tell us everything we need to know""]",0,None,0,0,Crime,0.8919865489006042,1
13,13,13,"["" ( CATHERINE stands in the doorway barring entrance to MAX NEWMAN and JERI NEWMAN , CAL NEWMAN 'S ex-wife . )"", ' [[Max_Newman]] i live here', "" [[Max_Newman]] why ca n't i go in ?"", ' [[Max_Newman]] i want to see my father', "" [[Jeri_Newman]] i 'm cal 's ex-wife , jeri newman , and this is our son max"", ' [[Jeri_Newman]] we have the right to an answer', ' [[Catherine]] and we have a right to protect the crime scene', "" [[Jeri_Newman]] what 's going on ?"", "" [[Catherine]] i ca n't tell you anything until i get all the details"", "" [[Catherine]] i 'm sorry"", ' [[Officer]] catherine ?', ' [[Officer]] can i have a moment please ?', ' ( CATHERINE leaves to talk with the OFFICER . )', ' [[Officer]] we need someone to identify the body', ' ( CATHERINE looks toward the two people standing in the doorway . )', ' [[Catherine]] ms newman', ' [[Catherine]] would you come with me , please ?', ' [[Max_Newman]] what about me ?', ' ( JERI NEWMAN stops her son . )', ' [[Jeri_Newman]] uh , no , honey', ' [[Jeri_Newman]] you stay right here', ' ( She steps into the house to follow CATHERINE . )']",1,Perpetrator,0,1,Crime,0.8365557789802551,1
37,37,37,"[' [[Jeri_Newman]] peter berglund ?', "" [[Jeri_Newman]] no , i do n't recall ever having met somebody by that name"", ' [[Catherine]] well , do you recall living in san diego ?', ' [[Jeri_Newman]] what does that have to do with anything ?', ' [[Catherine]] oh , it just might help jog your memory', "" [[Catherine]] san diego 's a military town"", ' [[Catherine]] your sister married a guy in the navy , right ?', ' [[Jeri_Newman]] did you really bring me in here just for this ?', "" [[Catherine]] well , we could go someplace else if you 'd like"", ' ( CATHERINE carries the laptop over to JERI NEWMAN . )', ' [[Catherine]] how about your house ?', "" [[Catherine]] it 's up for sale"", "" [[Jeri_Newman]] what 's this ?"", "" [[Catherine]] well , you see , we did n't have enough evidence at this point to get a warrant , but you put your house on the internet"", "" [[Catherine]] i did n't need a warrant"", ' [[Catherine]] gave me complete access via this virtual tour', ' [[Catherine]] and all with your permission', "" ( CATHERINE starts to navigate through JERI NEWMAN 'S house on the internet . )"", ' ( She virtually goes through the living room and focuses on the fireplace . )', ' ( She enhances a framed photograph on the mantle . )', ' ( She enlarges it . )', ' ( She sharpens it . )', "" [[Catherine]] that 's you ... that 's peter berglund ... and that 's the pacific"", ' [[Jeri_Newman]] so what ?', ' [[Jeri_Newman]] i know peter', ' [[Catherine]] yeah', ' [[Catherine]] you hired him to kill your ex-husband and his new wife', "" [[Jeri_Newman]] the picture does n't prove anything"", "" [[Catherine]] no , but it did give me access to peter 's financial information loan application"", ' [[Catherine]] two signatures -- peter berglund and yours', "" [[Catherine]] you cosigned for peter because he could n't qualify on his own"", ' [[Catherine]] payment for the hit', "" [[Catherine]] he gets your house you get your ex-husband 's money"", "" [[Catherine]] the thing about murder for hire ... there 's always a paper trail"", ' ( JERI NEWMAN looks up at CATHERINE . )', ' ( Camera holds . )']",1,Motive,0,1,Crime,0.8062368035316467,1
4,4,4,"[' ( From the second story top view , MONICA NEWMAN lies on the canopy awning . )', "" ( She 's dressed in her underwear and a short robe . )"", ' ( The camera flashes several times . )', ' ( GRISSOM looks down on the dead body while CATHERINE continues to snap photographs of the scene below . )', ' ( Cut to a black screen with a white-framed photograph of the dead body . )', ' ( Resume to present . )', ' ( BRASS joins them against the railing . )', ' ( He holds out a framed photograph of the young dark-haired woman and an older man . )', ' ( They both are smiling at the camera . )', ' [[Brass]] cal and monica newman', ' [[Brass]] owners of the house', ' [[Brass]] my guess , second marriage', "" [[Catherine]] 'cause she 's a babe and he 's"", "" [[Brass]] he 's , uhm ... got a good sense of humor"", "" ( GRISSOM does n't seem amused . )"", "" ( BRASS returns GRISSOM 'S look . )"", ' ( CATHERINE , meanwhile , notices something on the floor of the balcony next to her . )', ' ( She picks it up . )', "" ( It 's a shell casing . )"", "" ( GRISSOM holds the flashlight on it while CATHERINE reads the etching on the bottom , '380 AUTO WLN ' . )"", ' [[Catherine]] .380 auto caliber', ' ( GRISSOM moves his light to the canopy below . )', "" ( Next to the dead body 's right hand is a hand gun . )"", "" ( He moves the light to the woman 's head where the bullet wound is . )"", ' [[Grissom]] gunshot , right temple', "" [[Grissom]] women do n't shoot themselves in the head , do they , catherine ?"", ' [[Catherine]] well , gunshots do a number of your face , so typically , women prefer pills', ' [[Brass]] so what are we calling this , murder , suicide , what ?', ' [[Grissom]] is the husband around ?', ' ( GRISSOM looks at BRASS . )', ' [[Brass]] no', ' [[Catherine]] well , you do the math : dead female spouse plus missing husband ... equals murder']",1,"Crime scene,Victim",1,1,Crime,0.7511516809463501,1
15,15,15,"["" ( On the large monitor , ARCHIE JOHNSON looks at photos of The Newman 's residence . )"", ' ( CATHERINE enters the lab . )', ' [[Catherine]] virtual tour', ' [[Catherine]] right on , archie', ' [[Catherine]] before and after photos of the crime scene', ' ( ARCHIE smiles . )', ' ( CATHERINE takes a seat next to him . )', ' [[Archie_Johnson]] : thank you , thank you very much', ' [[Archie_Johnson]] it was on the hard drive of the computer you got at the crime scene', ' [[Archie_Johnson]] looks like a peter croft sculpture', ' [[Catherine]] you know your art', ' [[Catherine]] you a collector ?', ' [[Archie_Johnson]] what ?', ' [[Archie_Johnson]] on my salary ?', "" [[Archie_Johnson]] guggenheim 's as close as i get to something like that"", "" [[Catherine]] oh , i have n't been yet"", ' [[Archie_Johnson]] really ?', ' [[Archie_Johnson]] well , if you want a tour , i know a docent', ' [[Catherine]] a docent', "" [[Catherine]] so , you think that 's legit ?"", ' [[Archie_Johnson]] house like this , probably not a knock-off', "" [[Catherine]] you 'd be surprised"", ' [[Catherine]] the rich go cheap to stay rich , you know what i mean ?', ' [[Archie_Johnson]] yeah', "" [[Archie_Johnson]] let me show you the 'after ' photos"", ' [[Catherine]] please', ' [[Archie_Johnson]] same spot', ' [[Catherine]] and , uh , what happened to the sculpture ?', ' [[Archie_Johnson]] good question', ' [[Catherine]] you saying somebody lifted it ?', "" [[Archie_Johnson]] well , they do n't call them open houses for nothing"", "" [[Catherine]] put your house on the market your privacy 's up for grabs , too"", ' [[Archie_Johnson]] the newmans unlocked their door to anybody with internet access', ' ( Camera holds on CATHERINE . )']",0,None,1,0,Crime,0.7459390163421631,1
17,17,17,"[' ( Stretched out on the autopsy table is CAL NEWMAN . )', ' [[Robbins]] no surprise here', ' [[Robbins]] he drowned', ' [[Grissom]] we found his right hand caught in a pool filter', ' [[Robbins]] lack of bruising , no bleeding wounds', ' [[Robbins]] indicates his circulatory system had stopped', ' [[Robbins]] this was postmortem', ' ( Quick CGI POV to CAL NEWMAN floating dead in the swimming pool . )', ' ( The suction of the pool filter drags his body down . )', "" ( Cut to a camera angle from inside the filter as CAL NEWMAN 'S hand gets caught in the hole . )"", "" ( Cut back to the bottom of the swimming pool as CAL NEWMAN 'S entire arm gets pulled into the filter . )"", ' ( Flash to white . )', ' ( Resume to present . )', ' [[Grissom]] any significance to the marks on his chest ?', "" [[Robbins]] uh , do n't know"", ' [[Robbins]] not a rash', ' [[Robbins]] some kind of abrasion', ' [[Robbins]] maybe even a friction burn', ' [[Robbins]] definitely peri-mortem', "" [[Robbins]] x-rays reveal several broken ribs and he 's got a bruise on his forehead"", ' [[Robbins]] he could have taken a bad fall', ' [[Grissom]] or he could have been beaten', ' [[Robbins]] maybe', ' [[Grissom]] how about the new wife ?', "" ( GRISSOM and ROBBINS turn to the autopsy table behind them and set up next to CAL NEWMAN 'S table with MONICA NEWMAN on it . )"", ' [[Robbins]] no physical findings for sexual assault though i did send a kit to dna', ' [[Robbins]] looks like cause of death was a single gunshot to the head', "" [[Robbins]] i 'll know more later"", ' [[Grissom]] you always tell me that', ' [[Robbins]] yes , i do', ' [[Robbins]] depth of bruising gives us a timeline', ' [[Robbins]] apparent thumbprint on her neck came first the , uh , prints on her hands second', ' [[Robbins]] major impression on top', "" [[Robbins]] it 's some kind of recoil bruise on her palm"", "" [[Grissom]] she did n't shoot herself"", ' ( Quick flashback to an unknown man forcing MONICA NEWMAN to hold the gun . )', ' ( The gun is cocked . )', ' ( MONICA NEWMAN yells . )', ' ( The gun is forced to her temple . )', ' ( Sound of gunshot as we flash to white . )', ' ( Resume to present . )', ' [[Grissom]] she had help']",1,Death cause,1,1,Crime,0.7003146409988403,1
5,5,5,"[' ( NICK cuts the canopy around MONICA NEWMAN . )', ' [[Nick]] okay , warrick , hit it', ' ( WARRICK starts the crane support under the awning to remove the body and the canopy area that NICK cut . )', "" [[Nick]] white female , multiple bruising ... bullet hole to the temple does n't help"", ' [[Nick]] .380 auto on the side', ' [[Warrick]] yeah , somebody man-handled her pretty good before they killed her', ' [[Nick]] hmm']",1,Death cause,0,1,Crime,0.6905213594436646,1
20,20,20,"[' ( AUGIE HEITZ sits in his chair behind his desk . )', ' [[Augie_Heitz]] look , anyone could have lifted that peter croft', ' [[Augie_Heitz]] i thought this was about murder', ' [[Catherine]] oh , it is', ' [[Augie_Heitz]] excuse me', ' [[Augie_Heitz]] yeah ?', ' [[Augie_Heitz]] hey , yeah ... hey , can i call you back ?', ' [[Augie_Heitz]] okay , then', ' [[Augie_Heitz]] bye-bye', "" [[Augie_Heitz]] i 'm sorry , where were we ?"", ' [[Augie_Heitz]] brass : the tape', "" [[Augie_Heitz]] it was n't anybody 's face on that tape , it was your face"", ' [[Augie_Heitz]] i recorded their house for the virtual tour', "" [[Augie_Heitz]] that 's what i do to sell houses"", ' [[Brass]] selling house as a front for porno a little blackmail on the side', ' [[Augie_Heitz]] what are you talking about ?', ' [[Augie_Heitz]] i have done nothing wrong', "" [[Catherine]] oh , you 're innocent in all this ?"", ' [[Augie_Heitz]] i admit to having lust in my heart', "" [[Brass]] lust does n't live in your heart"", "" [[Catherine]] i 'm going to need that dna sample"", ' [[Augie_Heitz]] well , my dna is your dna', ' [[Catherine]] great', "" [[Augie_Heitz]] look , for what it 's worth i can tell you at least one guy other than her husband that saw monica in the buff on a weekly basis"", ' ( CATHERINE holds out the swab and waits for AUGIE HEITZ to finish speaking . )', "" [[Catherine]] say , 'ah '"", ' ( AUGIE HEITZ opens his mouth . )', ' [[Augie_Heitz]] ah']",0,None,1,0,Crime,0.6831784248352051,1
10,10,10,"[' ( SARA and DET LOCKWOOD make their way down from the seats and onto the field . )', ' [[Lockwood]] you have dinner yet ?', ' [[Lockwood]] sara : yeah', ' [[Lockwood]] why ?', ' [[Lockwood]] lockwood : you might be seeing it again', ' [[Lockwood]] mandy kirk', ' [[Lockwood]] seventeen', ' [[Sara]] seventeen', ' [[Lockwood]] senior', ' [[Lockwood]] janitor found her', ' [[Sara]] hi , david', ' [[David_Phillips]] hey', ' ( SARA puts her kit down . )', ' ( She pulls out some latex gloves and puts them on . )', ' [[Sara]] eviscerated', ' [[Lockwood]] maybe a wild animal ?', ' [[Lockwood]] they picked up a mountain lion last week in henderson', ' [[David_Phillips]] suburbs are encroaching on the hinterlands', "" [[David_Phillips]] we 'll know more after the autopsy"", "" [[Sara]] it 's a cheerleader"", "" ( SARA takes out a tweezer and pulls a piece of ribbon out from the wounds in the cheerleader 's abdomen . )"", ' ( She holds it up . )', ' [[Sara]] she had to have good lungs', ' [[Sara]] how come nobody heard her scream ?']",1,"Crime scene,Victim",0,1,Crime,0.6772792935371399,1
7,7,7,"[' ( A man is talking to an officer . )', ' [[Augie_Heitz]] grissom', ' [[Augie_Heitz]] a mr grissom', ' [[Augie_Heitz]] where would i find mr grissom ?', ' ( The officer points to GRISSOM who is standing behind the man . )', ' [[Augie_Heitz]] great , great', ' [[Augie_Heitz]] thank you very much', ' ( AUGIE HEITZ turns around and walks toward GRISSOM and BRASS . )', ' [[Augie_Heitz]] mr grissom ?', "" [[Augie_Heitz]] hi , i 'm augie heitz"", ' [[Augie_Heitz]] this is my listing', ' [[Augie_Heitz]] someone died , i know', "" [[Augie_Heitz]] it 's a terrible thing"", ' [[Augie_Heitz]] but you got people knocking down awnings stomping through the flower beds', ' [[Augie_Heitz]] how am i supposed to sell this house ?', "" [[Grissom]] you 're not"", "" [[Grissom]] it 's a crime scene"", "" [[Brass]] mr heitz , you 're mr newman 's realtor"", ' [[Brass]] have you seen your client lately ?', ' [[Augie_Heitz]] what , you kidding ?', ' [[Augie_Heitz]] i mean , this is actually the beauty of the service i provide', ' [[Augie_Heitz]] my clients never have to see me', "" [[Augie_Heitz]] they do n't even have to be home when i show their house"", ' [[Brass]] you always give out the combination to your lockboxes ?', "" [[Brass]] it 's illegal"", "" [[Augie_Heitz]] it 's a hot market"", ' [[Augie_Heitz]] um ... you know , i had a fish on the line', ' [[Augie_Heitz]] potential bidding war', ' [[Augie_Heitz]] look', ' [[Augie_Heitz]] i only give out the combination to people that i really trust', ' ( BRASS nods his head as this makes perfect sense to him . )', "" ( He looks over at GRISSOM who does n't say anything . )""]",0,None,1,0,Crime,0.6576182246208191,1
